Project Number,Project Name,Keywords,Description,Requirement
Project 2.10,Fuel Management System,"unify, bring together resources, fuel management","The project is optimising interoperability between agencies with the development of a single, intuitive and flexible platform for delivering the multi-agency fuel management program in Victoria.",This project relates to agencies in Victoria
Project 3,Community Risk Understanding,"training, education, bushfire risk","This project aims to educate communities in understanding and managing their bushfire risk. It has a strong focus on interpreting the science and providing training on the tools community members may use to see what actions they can take or activities they can get involved in – such as bushfire plans, preparing their properties, establishing CBBM townships and Fire Training Networks",This project relates to Australian communities that are in fire-risk areas
Project 4,Build Capacity and Capability for Partnering with the Community,"training, firefighters, volunteers","This project aims to build the skills and capabilities of firefighters, volunteers and fire managers for different levels of community engagement and community development through common training packages. Three levels of training are available and are being rolled out around the state.","This project relates to firefighters, volunteers and fire managers in Victoria"
Project 5,Tourism Demand Driver Infrastructure (TDDI),"tourism, tourist","The Tourism Demand-Driver Infrastructure (TDDI) programme commenced in July 2014 and terminated in June 2018. The Commonwealth provided funding of $43.1 million over four years to the State and Territory governments. Through TDDI, each State and Territory determined the processes used to allocate the TDDI funding in their own jurisdiction, and which projects received TDDI funding. The projects were strategically aligned with relevant state, regional and destination plans, and were aimed at driving demand, improving quality and increasing tourism expenditure, in order to assist the tourism industry to meet Tourism 2020 targets and entice tourists to visit tourist area. ","This project is at the government level, and the funding is alligned with each State and Territory governments"
Project 6,Joint Training System in Relation to Planned Burning,"training, workshop","This project focuses on the development of a joint training system, which will include content, accreditation pathways, joint workshops and burn complexity levels.",This is a Victorian only project
Project 7,Clean-Up Program,clean-up,The Clean-Up program is being implemented by Grocon. This project is taking charge of the clean up process as part of the bushfire recovery process. It will accumilate the burnt ruins and dispose of the waste.,This is a Victorian only project and applies to any bushfire devastated area in Victoria
Project 8,Boost For Neighbourhood Houses Affected By Bushfires,"support, community, neighbourhood house","Neighbourhood Houses were a focal point and sanctuary for many communities in the path of this summer’s bushfires, with people turning to them for shelter, material relief like clothes and food, communications help and emotional support.The $150,000 investment complements the work of the Government’s $14.4 million Bushfire Case Support Program – which offers free, tailored support to people directly impacted by bushfires – and its $23.4million investment in better mental health and wellbeing support",This is a Victorian only project and only applies to Neighbourhood houses in bushfire effected areas
Project 9,Bushfire Case Support Program,"counselling, insurance, financial, support,  acommodation","The Bushfire Case Support Program provides practical support for people who have been affected by the bushfires. Support can be provided face to face, over the phone or at a location that suits you, and they will assist you with any of the following:                                                                                    discussing your needs and the next steps you could take
information and support to access recovery and mental health services
financial counselling and assistance with insurance
temporary accommodation 
completing paperwork
advice for business owners
a small amount of financial support to help with immediate needs.",The Bushfire Case Support Program provides practical support for people who have been affected by the bushfires.
Project 10,Fencing Support,"fencing, fencing repair","The Victorian Government will pay half the cost of materials to repair, replace or upgrade bushfiredamaged fencing bordering National Parks, State Parks and State Forests. This includes an option to upgrade fencing for fire and pest resistance to a maximum of $5,000 per kilometre","This is a Victorian only project and only applies to bushfiredamaged fencing bordering National Parks, State Parks and State Forests."
Project 11,Disaster Recovery Payment (DRP),"Payment, recovery, one-off payment","The Disaster Recovery Payment provides a one-off payment for individuals adversely affected by a major disaster either in Australia or overseas.                                  Funding of up to $1000 for adults, $400 for children. On Jan. 15, the government pledged to increase the child supplement during these fires by an additional $A400.",The Disaster Recovery Payment provides a one-off payment for individuals adversely affected by a major disaster either in Australia or overseas. 
